targetId,diseaseId,score
ENSG00000141646,EFO_0000305,0.0
ENSG00000141646,MONDO_0007254,0.0
ENSG00000141837,EFO_0003847,0.0
ENSG00000141837,HP_0001249,0.0
ENSG00000142405,MONDO_0015137,0.0
ENSG00000142515,MONDO_0033947,0.0
ENSG00000142515,Orphanet_100054,0.0
ENSG00000142515,Orphanet_91378,0.0
ENSG00000142539,EFO_0000365,0.0
ENSG00000142539,EFO_0004230,0.0
ENSG00000142539,MONDO_0018653,0.0
ENSG00000143252,EFO_0000305,0.0
ENSG00000143252,MONDO_0007254,0.0
ENSG00000143473,EFO_0003847,0.0
ENSG00000143473,HP_0001249,0.0
ENSG00000143622,Orphanet_184,0.0
ENSG00000144285,EFO_0004263,0.0
ENSG00000144285,EFO_0005917,0.0
ENSG00000144285,Orphanet_1935,0.0
ENSG00000144285,Orphanet_2382,0.0
ENSG00000144642,EFO_0004593,0.0
ENSG00000144677,EFO_0000668,0.0
ENSG00000144677,EFO_0002950,0.0
ENSG00000144677,EFO_0004593,0.0
ENSG00000144711,HP_0012759,0.0
ENSG00000144815,HP_0002269,0.0
ENSG00000145362,EFO_0003847,0.0
ENSG00000145362,EFO_0005307,0.0
ENSG00000145362,HP_0001249,0.0
ENSG00000145362,Orphanet_2639,0.0
ENSG00000145362,Orphanet_399805,0.0
ENSG00000145700,HP_0001657,0.0
ENSG00000145949,HP_0001657,0.0
ENSG00000145982,EFO_0003847,0.0
ENSG00000145982,HP_0001249,0.0
ENSG00000146006,Orphanet_140162,0.0
ENSG00000146216,HP_0012759,0.0
ENSG00000146530,EFO_0000668,0.0
ENSG00000146733,Orphanet_100031,0.0
ENSG00000146926,EFO_0004190,0.0
ENSG00000147044,Orphanet_132,0.0
ENSG00000147124,HP_0002269,0.0
ENSG00000147234,HP_0002269,0.0
ENSG00000147481,EFO_0004593,0.0
ENSG00000148400,EFO_0007148,0.0
ENSG00000148672,EFO_0003847,0.0
ENSG00000148672,HP_0001249,0.0
ENSG00000148737,EFO_0002950,0.0
ENSG00000148773,HP_0001657,0.0
ENSG00000149256,HP_0000175,0.0
ENSG00000149256,Orphanet_190,0.0
ENSG00000149311,EFO_0005537,0.0
ENSG00000149311,MONDO_0003059,0.0
ENSG00000149554,Orphanet_140162,0.0
ENSG00000150995,EFO_0003847,0.0
ENSG00000150995,HP_0001249,0.0
ENSG00000151067,EFO_0000668,0.0
ENSG00000151067,EFO_0002950,0.0
ENSG00000151067,EFO_0004593,0.0
ENSG00000151067,HP_0001520,0.0
ENSG00000151067,HP_0012759,0.0
ENSG00000151067,Orphanet_101016,0.0
ENSG00000151067,Orphanet_768,0.0
ENSG00000151150,EFO_0003847,0.0
ENSG00000151150,HP_0001249,0.0
ENSG00000151468,EFO_0002950,0.0
ENSG00000151468,HP_0001518,0.0
ENSG00000151503,EFO_0003847,0.0
ENSG00000151503,HP_0001249,0.0
ENSG00000151611,EFO_0009074,0.0
ENSG00000151611,Orphanet_79311,0.0
ENSG00000151718,HP_0001657,0.0
ENSG00000151789,EFO_0002950,0.0
ENSG00000151789,HP_0001518,0.0
ENSG00000151806,HP_0001657,0.0
ENSG00000152642,HP_0001657,0.0
ENSG00000152642,Orphanet_99739,0.0
ENSG00000152936,EFO_0000668,0.0
ENSG00000152953,HP_0001657,0.0
ENSG00000153064,EFO_0002690,0.0
ENSG00000153234,EFO_0003758,0.0
ENSG00000153253,HP_0012759,0.0
ENSG00000153404,HP_0002269,0.0
ENSG00000153922,HP_0012759,0.0
ENSG00000153956,EFO_0004278,0.0
ENSG00000154553,Orphanet_217635,0.0
ENSG00000154864,EFO_0002950,0.0
ENSG00000154864,HP_0001520,0.0
ENSG00000155189,EFO_0004212,0.0
